id,name,type,inc_crc,fmel_upd_d,longitude,latitude,altitude
kml_1169,JURONG PIER ROAD,Major_Road,A235023696112791,2.02E+13,103.7100773,1.310735574,0
kml_1170,JURONG PIER ROAD,Major_Road,2A1B27A2AB56AA1C,2.02E+13,103.7100214,1.317941139,0
kml_1171,JURONG PIER ROAD,Major_Road,B89965CDF5AAB362,2.02E+13,103.7097199,1.3136832,0
kml_1172,JURONG PIER ROAD,Major_Road,27E3F31281794DDF,2.02E+13,103.7100773,1.310735574,0
kml_1173,JURONG PIER ROAD,Major_Road,B74C21F085B32324,2.02E+13,103.7100214,1.317941139,0
kml_1174,JURONG PIER ROAD,Major_Road,370C5103ED419DB3,2.02E+13,103.7099391,1.314467619,0
kml_1175,JURONG PIER ROAD,Major_Road,08B435E1759D5C06,2.02E+13,103.7101451,1.321463267,0
kml_1176,JURONG PORT ROAD,Major_Road,1727D3ECA25191BA,2.02E+13,103.7195288,1.323898555,0
kml_1177,JURONG TOWN HALL ROAD,Major_Road,520D8C9D30965198,2.02E+13,103.737303,1.345960551,0
kml_1178,JURONG WEST AVENUE 2,Major_Road,C7975582914C1D3B,2.02E+13,103.7174476,1.355945211,0
kml_1179,JURONG WEST AVENUE 4,Major_Road,7EBB4FE4A5163DE8,2.02E+13,103.7050934,1.347138448,0
kml_1180,KALLANG BAHRU,Major_Road,9F0FC2AF7CEFA44E,2.02E+13,103.8617851,1.312010187,0
kml_1181,KALLANG ROAD,Major_Road,DD1F878B3DE11E1E,2.02E+13,103.868858,1.309994731,0
kml_1182,KAMPONG BAHRU ROAD,Major_Road,99466FC04A91E23A,2.02E+13,103.826352,1.267109578,0
kml_1183,KAMPONG BAHRU ROAD,Major_Road,F784ECA95639392D,2.02E+13,103.8251299,1.270577643,0
